chain,min_x,max_x,min_y,max_y,min_z,max_z
ROOT-0-1,-65.000000,65.000000,-60.000000,60.000000,-75.000000,75.000000
ROOT-0-12,-105.000000,105.000000,-105.000000,105.000000,-105.000000,105.000000
ROOT-0-16,-105.000000,105.000000,-105.000000,105.000000,-105.000000,105.000000
0-1-20,-65.000000,65.000000,-60.000000,60.000000,-75.000000,75.000000
0-12-13,-170.000000,170.000000,-130.000000,155.000000,-140.000000,140.000000
0-16-17,-170.000000,170.000000,-155.000000,130.000000,-140.000000,140.000000
1-20-2,-60.000000,60.000000,-60.000000,60.000000,-60.000000,60.000000
1-20-4,-160.000000,160.000000,-150.000000,150.000000,-180.000000,180.000000
1-20-8,-160.000000,160.000000,-150.000000,150.000000,-180.000000,180.000000
12-13-14,-80.000000,185.000000,-70.000000,70.000000,-70.000000,70.000000
16-17-18,-80.000000,185.000000,-70.000000,70.000000,-70.000000,70.000000
20-2-3,-80.000000,80.000000,-80.000000,80.000000,-80.000000,80.000000
20-4-5,-160.000000,160.000000,-140.000000,140.000000,-160.000000,160.000000
20-8-9,-160.000000,160.000000,-140.000000,140.000000,-160.000000,160.000000
13-14-15,-120.000000,120.000000,-80.000000,110.000000,-95.000000,95.000000
17-18-19,-120.000000,120.000000,-80.000000,110.000000,-95.000000,95.000000
4-5-6,-50.000000,240.000000,-70.000000,70.000000,-80.000000,80.000000
8-9-10,-50.000000,240.000000,-70.000000,70.000000,-80.000000,80.000000
5-6-7,-90.000000,90.000000,-90.000000,90.000000,-110.000000,110.000000
9-10-11,-90.000000,90.000000,-90.000000,90.000000,-110.000000,110.000000
6-7-21,-100.000000,100.000000,-100.000000,100.000000,-120.000000,120.000000
6-7-22,-130.000000,130.000000,-130.000000,130.000000,-150.000000,150.000000
10-11-23,-100.000000,100.000000,-100.000000,100.000000,-120.000000,120.000000
10-11-24,-130.000000,130.000000,-130.000000,130.000000,-150.000000,150.000000
