limb_start,limb_end,median_length_mm
0,12,90.03018342363333
0,16,90.03018342363333
1,0,343.018067442399
2,20,79.3949418874313
3,2,160.14928694589247
4,5,267.13441504821345
5,6,269.89350379936563
6,7,120.79363437415569
7,21,82.10822078195721
7,22,54.80441325871665
8,9,267.13441504821345
9,10,269.89350379936563
10,11,120.79363437415569
11,23,82.10822078195721
11,24,54.80441325871665
12,13,465.85119452517393
13,14,486.53065237123405
14,15,138.82770883250805
16,17,465.85119452517393
17,18,486.53065237123405
18,19,138.82770883250805
20,1,247.1993633920534
20,4,188.83981002103027
20,8,188.83981002103027
